,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BK,BAX,BDX,BBY,BIO,BIIB,BLK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,CHRW,COG,CDNS,CPB,COF,CAH,KMX,CCL,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CERN,CF,SCHW,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CTXS,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,CXO,COP,ED,STZ,COO,CPRT,GLW,CTVA,COST,CCI,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DXCM,FANG,DLR,DFS,DISCA,DISCK,DISH,DG,DLTR,D,DPZ,DOV,DOW,DTE,DUK,DRE,DD,DXC,EMN,ETN,EBAY,ECL,EIX,EW,EA,EMR,ETR,EOG,EFX,EQIX,EQR,ESS,EL,ETSY,EVRG,ES,RE,EXC,EXPE,EXPD,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FITB,FE,FRC,FISV,FLT,FLIR,FLS,FMC,F,FTNT,FTV,FBHS,FOXA,FOX,BEN,FCX,GPS,GRMN,IT,GD,GE,GIS,GM,GPC,GILD,GL,GPN,GS,GWW,HAL,HBI,HIG,HAS,HCA,PEAK,HSIC,HSY,HES,HPE,HLT,HFC,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUM,HBAN,HII,IEX,IDXX,INFO,ITW,ILMN,INCY,IR,INTC,ICE,IBM,IP,IPG,IFF,INTU,ISRG,IVZ,IPGP,IQV,IRM,JKHY,J,JBHT,SJM,JNJ,JCI,JPM,JNPR,KSU,K,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LB,LHX,LH,LRCX,LW,LVS,LEG,LDOS,LEN,LLY,LNC,LIN,LYV,LKQ,LMT,L,LOW,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MKC,MXIM,MCD,MCK,MDT,MRK,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MNST,MCO,MS,MOS,MSI,MSCI,NDAQ,NOV,NTAP,NFLX,NWL,NEM,NWSA,NWS,NEE,NLSN,NKE,NI,NSC,NTRS,NOC,NLOK,NCLH,NRG,NUE,NVDA,NVR,ORLY,OXY,ODFL,OMC,OKE,ORCL,PCAR,PKG,PH,PAYX,PAYC,PYPL,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,POOL,PPG,PPL,PFG,PG,PGR,PLD,PRU,PEG,PSA,PHM,PVH,QRVO,PWR,QCOM,DGX,RL,RJF,RTX,O,REG,REGN,RF,RSG,RMD,RHI,ROK,ROL,ROP,ROST,RCL,SPGI,CRM,SBAC,SLB,STX,SEE,SRE,NOW,SHW,SPG,SWKS,SLG,SNA,SO,LUV,SWK,SBUX,STT,STE,SYK,SIVB,SYF,SNPS,SYY,TMUS,TROW,TTWO,TPR,TGT,TEL,FTI,TDY,TFX,TER,TXN,TXT,TMO,TIF,TJX,TSCO,TT,TDG,TRV,TFC,TWTR,TYL,TSN,UDR,ULTA,USB,UAA,UA,UNP,UAL,UNH,UPS,URI,UHS,UNM,VLO,VAR,VTR,VRSN,VRSK,VZ,VRTX,VFC,VTRS,V,VNO,VMC,WRB,WAB,WMT,WBA,DIS,WM,WAT,WEC,WFC,WELL,WST,WDC,WU,WRK,WY,WHR,WMB,WLTW,WYNN,XEL,XRX,XLNX,XYL,YUM,ZBRA,ZBH,ZION,ZTS
fullTimeEmployees,96163,107000,47000,1536,506000,9080,22634,11400,39000,8000,11729,16300,19000,8155,18112,6000,439,3082,14530,11000,3597,45780,132121,132121,7300,1125300,47000,9323,110500,17408,64000,46000,5454,6800,12500,21000,18100,23400,74000,16400,4500,70600,50000,15100,3163,950,147000,24000,141000,38100,2300,32000,13600,235000,4694,10100,58000,60000,3122,27950,58000,18300,211000,48600,50000,65000,125000,8000,7400,16600,161100,23000,48000,760,36000,30000,19000,12000,15177,547,8100,14500,52500,48000,25000,150000,13900,102300,823,100000,9980,7700,56600,14262,27400,3000,22100,95100,48200,94000,33000,4800,73700,5148,40000,77500,209000,17930,8400,8800,4360,8128,86200,283100,34300,190000,7738,16500,1453,9800,14890,9000,12000,7600,49500,21000,156000,5100,19000,61615,290000,,60000,177895,65000,73489,91000,15200,1800,3900,712,1550,17200,9200,9200,16000,143000,56900,19100,13100,24000,36500,10700,29000,400,35000,138000,14500,92000,13300,45000,12937,13900,9800,83500,13600,2900,11000,9638,2600,1822,48000,1374,4617,8234,1603,32713,25400,17743,4048,74900,6048,56653,20336,308,324000,55000,20283,12000,5294,44000,8000,4265,16000,6400,187000,8075,25000,24700,9000,9000,,27500,129000,15000,16724,,189400,35000,164000,55000,11800,3196,24000,40900,23800,40000,63000,19500,5600,210000,204,19000,14520,1775,61600,173000,4074,5814,400000,113000,18700,175,41700,56000,46000,15680,42000,7000,9200,15500,45000,7700,1456,16000,111300,8445,352600,50000,54300,13668,10600,7326,8750,5960,68000,25000,6717,55000,29056,7000,132200,97000,256358,9916,7040,31000,16758,,40000,502,11086,10600,37000,500000,25500,48000,70000,11700,7700,50000,22000,34000,10106,35065,11357,74648,10500,51000,110000,18605,300000,19100,16980,2000,60910,599,174000,76000,8846,22000,18600,12400,7115,205000,60000,90000,71000,,14850,63000,18000,40000,163000,2476,41800,17700,80000,1273,11397,63051,12600,17000,3545,4776,33810,10800,8600,30000,16600,23500,23500,14800,46000,75400,8363,24587,20700,90000,3600,36000,4577,26800,13775,5700,76027,14400,21080,70000,2882,135000,27000,15500,50520,15600,3765,23200,9500,6110,267000,13000,11000,88300,73500,14500,6210,2323,49805,4500,47000,12280,17601,99000,41571,1712,51511,13000,5900,5245,21500,7900,40300,41000,47000,13700,,243200,194,450,8314,19766,36000,7770,16000,23500,14952,16460,92500,85300,22500,54255,1475,82000,42000,16500,18000,12643,61111,3500,10000,1033,12800,27943,57931,59438,349000,38979,13000,40000,4336,16500,13896,57000,53000,7635,5800,12400,368000,82000,37000,11790,14400,5500,29768,32200,75000,14100,286000,16000,50000,14200,30800,55000,4900,5511,139000,1330,18000,70000,7000,7000,31362,87887,325000,260280,19100,90000,10300,10222,10000,516,872,9060,133200,3000,48000,35000,20500,4008,9173,7493,27500,2200000,223000,,44900,7000,7500,274900,443,8200,63800,11500,,9400,77000,4812,45000,30200,11273,25500,4891,16000,34000,8200,19900,9726,10600
payoutRatio,0.6858,0.7447,0.9935,0,0.4056,0.1439,0,0,0.1177,,0.1743,0.3171,0.60580003,0,,0.4241,0.9543,0,0,0.3796,0.5578,0.1494,0,0,8.666699,0,0.9829,0.5789,,0.72540003,0.3193,,1.0236,0.5753,0.2821,,0.17989999,0.5036,0.26389998,0.77589995,0,0.1882,0.22680001,0.4948,,1.5728,0.24239999,0.2194,0.0674,0.5071,0,0.4461,0.3739,1.3775,0.4703,0,0.6319,0,1.3498,0.3712,,0.38709998,0.35639998,0.2731,0.5254,1.1661,0.3415,0,0,0.4714,,0,0.38639998,0.6125,0,,2.3206,0.5447,0.6053,0.7547,0,0.71790004,0.6311,0.6082,0,,0,0.6821,0.3538,0,0.2998,0.499,0,,0.28129998,0.90230006,0.32869998,0,,0,0.6071,0.3066,0.0028,0.48860002,0.2975,0.5789,0.3984,0.6923,0.30110002,0.4772,0.55,0.6011,0.84459996,0.3185,0.5559,0.4036,0.74660003,0.41869998,,,0.7494,0.5245,0.0107,0,3.3077,0.6582,0.29930001,3,0.2833,0.491,0.33060002,0.1092,0.1659,,0,0.3543,,,,0,,1.8894,0.5399,0,0,0,0.1478,0,1.3998,0.2564,0.42810002,,0.5737,1.3869001,1.6207001,,,0.7586,0.8529,0.18620001,0.4586,2.7717001,0,0,0.6173,0.5391,,0.4321,2.0551,0.9314,0.8933,0.86230004,0,0.72400004,0.47439998,0.3758,0.6214,,0.2749,1.0682,4.4615,0,0,0.66440004,1.8069,0.38349998,,0.525,1.3724,0.1393,0,0,0.6476,0.7054,0.4027,,0,0.1879,0.26700002,0.1736,0.1736,0.6792,,,0.4428,0,,0.1026,0.5241,0.34080002,10.1048,2.7245002,0.111499995,0.52,0.288,0.5034,,0.4918,0.2669,0.9347,0.084,2.5154,0,0.5479,,,,,0,0.5065,0.5165,0.5338,,0.032,0.387,0.0776,0.84510005,0.28260002,0.4082,0,0.2227,0.66010004,0,0,0,0.2564,0.32369998,0.7361,1.64,0.6897,0.90419996,0.3064,0,0.8692,0,0,5.3783,0.4344,0.313,0.2301,0.4656,0.6164,1.2380999,0.47,0.6752,0.2649,0.66089994,0.64910007,0,0.6154,0.32669997,20.5,0.41919997,,0.19510001,,0.36330003,0,0.2699,0.38529998,,0.9412,0.3192,0.0581,0.4697,0.4046,0.90050006,0,0,0.41009998,,0.3169,1.1831,0.4396,,,0.3182,1.8113,0.4598,0.2075,0.18879999,0.2297,0.4301,0.7589,0.76339996,0.1282,0.67480004,0.5386,0.2932,0,0.10479999,0.62509996,0,0.32900003,1.4296001,0,0.42380002,0.55189997,0,0.22680001,0.2365,,0.5727,0.4209,0.3516,,0.5565,0,,0.26709998,,,0.6881,,0.5799,,0.48450002,0.4628,0.37759998,0.38459998,0,0.0585,1.1418,0.1046,0,0,,0.1074,0.5882,2.5306,0.3028,0.31219998,0.6358,0.3843,0.8552,0,0,0.3505,0.6217,0.7832,0.0759,,0.96769994,0.95339996,,0.5579,2.0291,0.6242,0.2839,0.4559,0.8246,0.5057,0.5876,0.0463,1.0179,,0.5146,1.2327,0.1004,0.0134000005,0,0.074099995,0.56189996,0.2725,,0.2539,3.9032001,2.3167,5.2027,0,0.78480005,0.5141,0.3348,0.4667,0.4652,0.5133,0.138,0.53,,0.2585,0,,,0.665,0.21190001,0.6321,0,0.2504,1.25,0.37919998,1.1049,0.4041,0.84559995,,0.4482,2.0759,0.3312,0.30629998,0.4989,0,0.4,0,,0,0.38919997,0,,0.35279998,,,0,0.1753,0.099700004,0.68050003,0.0678,0.069699995,1.1429,1.2321,0.2252,0.44169998,0,0.3822,0.6228,0,0,0.2867,3.1222,0,0.5563,0,0,0.4943,0,0.26770002,0.7571,0,0.039300002,0.2446,,0,2.7308,0,0.26299998,0.55939996,0,,0,0.24540001,9.2036,0.2885,0.26139998,0.1967,0.3102,3.5385,,0.6066,0,0.6529,4.1795,1.0963,0.155,,0.5147,,1.0303,0.3483,8.3158,0.32930002,,0.6054,0.6061,0.6122,0.8293,0.53349996,0,,0.5812,0.2202
beta,0.936302,0.893461,0.68602,1.425591,1.05806,0.701803,1.019165,2.33089,1.394588,0.883314,0.806087,1.032694,0.893461,0.466741,1.642615,1.306651,0.807779,1.312288,1.746899,1.095264,0.366967,0.735062,1.023111,1.023111,0.509582,1.298759,0.470253,0.281285,1.702367,0.292559,1.215332,1.296505,0.30496,0.199549,1.775084,0.549605,1.314543,0.80947,1.254791,1.295941,1.253664,0.966178,0.818489,1.094137,4.837655,0.792559,1.354002,1.276775,2.249718,0.865839,1.046786,0.683201,0.642051,0.673618,0.288049,1.425591,0.702931,0.917136,0.896279,0.996054,1.648816,0.447576,1.571589,1.019165,0.725479,0.844983,1.758173,0.99549,0.583427,1.157271,1.392333,1.096392,1.814543,1.039458,0.977452,0.643742,1.002818,0.870913,0.679819,0.216459,1.108793,0.492671,1.713077,0.952649,1.878804,2.003945,1.595828,0.980834,0.59301,1.545095,1.167418,1.219278,0.550169,0.950394,0.755355,1.080045,1.095264,1.050169,1.213641,1.417136,0.60372,0.418263,0.710822,0.55806,1.528184,0.845546,1.80947,1.81567,0.164599,0.24239,0.382187,0.148252,0.553551,1.152198,0.556369,0.941939,1.775648,0.832018,1.838218,1.709131,0.15558,0.982525,0.867531,1.111048,1.13416,,0.660653,0.296505,1.201803,1.199549,0.667981,1.792559,0.784667,1.40868,1.179255,0.944193,1.267192,0.852311,3.293122,0.953776,2.29425,0.18151,1.782412,1.381059,1.381059,1.843855,0.533821,0.656708,0.369785,0.41319,1.333145,,0.625704,0.234498,0.568207,1.341037,2.480834,1.521984,1.116685,1.331454,0.937429,0.498872,0.922209,0.927282,1.523675,0.489853,1.944757,1.202931,0.385569,0.612739,0.684892,0.828635,1.590191,0.384441,0.342164,0.498872,0.414881,1.59921,0.815107,0.218151,1.285794,1.030439,1.271702,1.19673,0.926155,1.392333,0.753664,1.709131,0.262119,1.132468,0.767192,1.48027,1.561443,1.761555,1.021984,1.232243,1.107666,1.213262,1.786922,,,1.232243,2.213077,1.630777,0.991544,1.474633,,0.776775,0.5885,1.354565,1.086245,0.545095,1.11443,1.072153,1.416009,1.094701,2.739571,1.630777,0.984216,0.884441,1.543968,0.661217,0.875986,0.260992,2.223788,1.228297,1.278466,1.746335,1.399661,1.117249,1.043404,-0.044532,1.211386,1.486822,0.986471,0.935738,1.482525,0.904735,1.072153,0.900789,0.987598,1.136978,1.11443,1.076099,1.436156,0.722096,0.632468,1.254791,1.107102,0.869785,0.998872,0.987034,0.97576,1.255918,1.52593,1.454904,0.838218,0.505073,0.888387,1.011273,0.244081,0.691093,1.189402,1.142051,0.885005,1.070462,0.633596,1.537767,1.031003,0.507328,1.182074,0.972378,1.135851,1.003382,0.34611,1.641488,0.746466,1.195603,1.193348,0.721531,1.336527,1.558624,0.99549,1.653325,0.267192,2.142051,0.750281,1.182074,1.73337,0.980834,0.76381,1.513528,1.463359,1.209131,3.255355,2.146561,0.463359,1.677564,0.842164,0.784103,1.486471,1.157835,0.461104,1.218714,0.625704,0.814543,0.648816,0.427846,1.284103,1.027057,2.295377,1.612739,1.261555,0.868094,0.634723,1.435738,0.961668,0.602593,1.115558,1.239571,1.467869,1.824126,0.770011,0.844419,0.811724,1.97576,1.24859,1.015783,0.953776,0.259301,1.475197,1.475197,0.176437,1.226606,0.821871,0.231116,1.428974,1.074408,0.787485,1.191093,2.746899,1.060879,1.366403,1.591882,1.110484,1.082299,1.904171,1.095264,0.643742,1.959977,0.790304,1.139797,1.076099,1.668545,0.879368,1.564261,1.094701,1.257046,1.202367,0.56257,1.275084,1.197857,0.641488,0.776775,1.518038,0.277903,1.864148,1.259864,0.818489,1.118376,0.782412,1.57779,0.396843,0.532694,0.903043,1.700676,0.563697,0.091319,1.519729,2.228297,1.483089,1.308906,1.328072,1.165163,1.310033,1.297632,0.794813,0.650507,0.844983,0.396843,1.621195,0.636978,0.279594,1.581736,1.461104,0.505636,1.007328,0.770574,2.764374,1.043968,1.284667,0.270011,2.129086,1.145434,1.208004,0.679255,1.228861,1.069898,1.337091,1.346674,1.53213,1.307215,0.373731,1.198421,1.528184,0.768883,1.59921,0.589627,0.835963,2.198985,1.735062,1.164599,1.228297,0.399098,1.159526,0.53213,1.198421,0.918827,1.37655,2.220896,1.002254,1.060315,1.264937,1.085682,1.680947,0.976888,0.839909,0.784103,1.021984,1.292559,1.591319,0.765501,1.388951,0.837655,0.652762,0.683765,0.609921,1.552987,1.09921,1.042277,1.042277,1.096392,1.46505,0.722096,1.023675,2.249718,1.112739,1.686583,1.945885,1.169673,1.180383,0.854565,0.755918,0.389515,0.78354,0.973992,1.465614,0.916572,1.291995,0.697857,0.835963,1.638105,0.395715,0.445321,1.075535,0.726606,0.912063,0.191093,1.094701,0.935738,1.135851,1.632468,0.937993,1.368094,2.016347,2.042841,1.767756,0.741262,2.206877,0.307215,1.755355,0.88275,1.020856,0.983652,1.578917,1.338782,1.627959,0.744644
trailingPE,20.275595,58.64093,22.055992,58.947247,30.834705,26.960337,58.30227,114.68835,21.011793,,6.8979077,50.063206,31.873676,29.997068,,35.623955,38.14548,28.168947,20.315344,34.88731,19.683542,7.014424,33.55194,33.664207,104.010414,90.62043,38.115017,22.918491,,21.359398,27.715412,,55.002365,43.20822,12.617544,,31.063492,17.999031,33.612137,45.11037,72.34826,15.781266,25.601803,28.88202,,29.747574,35.77439,19.572702,17.418863,17.231478,30.040277,28.880281,19.832617,18.631578,19.564417,156.47023,29.729214,15.490059,36.9201,23.569832,,62.66108,13.206897,8.299737,43.588,85.56088,19.265846,4.8846493,8.037066,22.341005,,59.15546,21.34091,15.367072,12.936661,,71.986855,35.969223,27.523779,32.086464,29.242935,9.141471,40.454987,15.578252,22.67386,,65.316055,28.552717,19.745337,18.293066,26.02564,27.418417,16.69141,,28.624462,25.340393,21.5887,51.96717,,154.57664,29.49287,27.809769,14.377369,15.889962,42.232727,16.587046,10.058422,14.547092,25.754597,22.568634,27.911667,22.931486,27.290155,28.13195,27.207668,22.049326,13.883842,17.665026,,,19.094498,35.505398,59.194355,40.150826,142.35294,,42.25277,104.35625,25.434843,21.736876,10.973554,11.700468,45.51613,,16.447073,30.142223,,,,130.57875,,65.63937,22.818792,14.121884,12.678671,13.845215,22.88342,25.467953,,33.338467,26.90196,,18.378149,33.924515,65.546074,,,27.888506,34.49897,6.7947297,,65.883575,66.822136,27.160686,23.444445,15.814832,,47.466816,143.4154,23.795677,27.743202,144.48048,75.22019,19.735697,25.157536,13.989952,17.230452,,24.005934,33.459026,47.480717,32.157684,30.72454,32.39726,38.681602,40.737633,,12.626061,20.87994,23.196428,85.91946,30.557158,36.497116,29.33155,29.761904,,44.09108,46.644863,24.001137,10.593833,10.4453745,12.949685,,,21.492395,64.31703,13.16649,27.727274,16.402033,19.30045,,59.692158,13.658858,113.98685,12.875425,35.363743,,11.1174555,9.569308,32.985817,14.897876,,15.549033,25.939968,,10470,,,16.387173,24.7124,28.95227,29.488235,,,11.579842,13.017881,16.52602,10.888264,39.585712,80.94317,40.27523,30.908264,69.72646,,,8.884321,27.855566,13.253996,39.607372,14.951657,33.53082,50.24422,83.24675,14.760563,101.99695,187.38411,55.847828,41.185394,,28.764238,15.382478,23.012579,53.916668,14.939366,18.33051,31.236532,18.832561,13.295751,35.096676,20.287415,7.4046555,290.81635,29.502554,,9.953973,,26.050879,23.513105,24.640036,30.13853,,25.564705,23.561031,10.575098,23.803993,11.279694,60.159904,,17.916243,15.856096,,19.982674,23.33524,11.757268,,,75.21554,221.71004,28.386936,24.829393,9.98537,48.47666,32.513718,31.793758,32.660564,13.035837,33.791412,17.767225,7.513513,48.238754,8.89379,56.070206,25.88533,33.939346,45.47027,2.5483341,16.193308,26.96555,37.638573,28.41645,9.771806,,37.410553,59.764107,23.137363,,14.851173,78.85013,,19.374609,,,38.156567,,78.73298,,31.010948,15.095804,21.017902,,,1.8649244,37.269505,85.5828,19.104849,20,,38.980095,13.449831,22.575342,17.515722,21.653658,26.121958,29.161572,31.25517,139.40717,72.70566,25.23084,11.059947,28.399998,35.29141,,23.86216,15.548126,,14.836927,92.0365,7.7501197,42.7026,31.506607,14.473684,11.113631,26.619532,10.791334,44.903713,,15.440318,34.459167,9.126436,,38.848183,24.752035,32.30752,15.389643,,15.181819,,50.283096,170.61371,19.011215,19.102402,30.980885,45.292984,21.377499,28.23603,75.91568,27.334414,126.73255,,33.905983,99.59089,,,14.197089,15.162698,10.022285,149.12492,35.782116,18.432175,29.247915,22.394365,16.168303,20.374834,,30.056572,122.79747,10.828685,39.766735,50.51193,17.39728,13.224069,54.10002,,44.68642,15.460579,41.234238,,24.903887,,,37.43092,47.69755,27.201332,29.683893,37.91032,36.98868,64.6483,103.7265,20.158533,,64.00557,15.333334,,,91.15241,10.365188,88.555305,55.23819,14.116479,,,25.909554,,19.225689,31.062216,17.387865,12.843974,4.588513,,59.017002,53.774834,28.338142,50.724747,13.583711,21.090748,,,41.71031,142.60715,30.414574,37.14124,29.415665,23.969368,72.31213,,33.987576,28.083727,25.223097,66.87664,25.876455,68.94189,,12.352245,,43.69301,13.98608,114.26966,24.406364,,24.674261,5.165016,54.0768,76.66937,30.484901,40.51935,,16.18816,47.89625
forwardPE,18.295238,25.202272,8.272354,52.590195,27.4763,21.69774,41.443153,46,15.24076,13.174194,8.985655,30.133152,25.541077,18.671534,-198.83334,31.655941,62.410645,9.416601,53.65986,24.093817,20.492249,8.191333,28.321318,28.406815,8.701525,68.313866,17.544117,20.809017,-2.3289962,17.778017,16.802986,8.855504,42.30182,37.19576,9.884552,10.967249,27.628235,13.119929,30.476078,24.302702,45.20739,12.103763,18.532648,23.65401,114.399994,-383,27.099306,14.341122,28.868687,13.465375,27.425945,24.74304,12.478099,8.795031,17.782528,47.91165,27.056873,13.354908,44.64935,20.658264,,29.029852,12.827751,9.737789,21.695774,17.407658,16.478561,50.93655,9.600864,19.36971,133.97314,35.50909,10.042781,41.86383,20.301207,8.258713,15.062081,23.993378,21.940758,8.890625,39.299652,16.218542,9.476191,8.418832,16.823845,-4.879214,35.14626,23.337397,18.506172,18.275862,19.723467,14.416394,11.447272,17.25,22.748447,26.377953,19.26033,31.224869,32.61977,60.287777,13.082602,28.276316,9.96691,20.31496,38.009453,12.15727,9.09331,11.569892,18.884012,25.413017,24.995523,21.491228,24.962086,19.070353,26.365326,17.072916,12.705289,13.84556,14.434673,60.075756,17.23608,19.799606,26.361973,34.375378,19.516129,20.876404,35.453022,71.354706,21.189814,17.034712,8.805039,8.542142,31.530725,17.720589,13.347509,24.187092,-75.77551,21.572054,21.933332,94.00893,10.2153845,133.36447,10.345782,7.654655,6.8313437,11.926317,21.45204,16.430796,20.322998,30.1051,20.012966,20.345724,18.238764,17.769674,65.1017,17.619719,6.0112042,13.675638,23.527056,13.2405405,39.523453,13.868709,38.076576,20.482353,19.328243,18.285234,22.25,26.735203,86.99164,59.37255,59.23077,38.12361,64.84259,16.87616,22.78406,9.593192,14.097643,181.66666,22.136816,34.04532,26.014084,14.194714,25.98266,30.915033,44.89,15.975174,21.745098,11.391892,10.687023,22.054329,20.938889,19.994488,16.321888,20.440994,15.392423,8.32381,32.629837,29.841003,18.008528,11.595833,11.676597,7.1993012,12.957317,18.891474,22.671286,37.669132,12.856153,27.11111,16.628727,7.4079175,16.833332,9.025526,12.25887,23.68944,9.279186,22.305176,23.382353,8.793549,8.413603,20.903372,12.391925,,16.775726,22.52744,-19.804256,6.8881583,46.46575,73.83333,15.129386,21.95362,25.602028,27.543957,-19.929577,,8.702128,18.667738,11.298078,15.234165,34.330975,68.98811,28.990566,26.89182,46.491497,21.965147,25.291428,9.953947,21.320675,10.037768,13.884831,11.766304,18.191559,36.331245,55.025604,7.7438426,42.170166,21.626753,19.029629,36.07432,,22.306665,13.610071,16.262222,16.003534,12.631753,13.109091,22.301775,16.2525,11.189781,19.265339,17.872122,29.9,15.48913,18.760248,12.852589,12.059479,15.861112,14.485627,10.647583,17.317892,23.05298,36.53595,16.524714,15.561241,9.194176,18.254705,4.6240835,27.853039,-36.23497,12.80292,14.089585,14.624137,17.312933,11.467697,11.498539,-8.484848,-35.425922,66.27913,46.77647,21.68522,25.637068,16.8,39.104115,31.612736,26.645697,25.639519,9.613469,19.025908,12.64937,7.315789,40.839855,-16.801283,18.5,10.132013,28.202414,57.354546,12.934894,10.371429,20.33452,32,26.49903,11.247083,16.905174,19.453487,47.37278,20.777962,-45.592594,12.90796,54.1286,12.496933,13.609271,33.69231,,30.220001,9.156977,36.037937,17.703703,21.519215,15.006568,12.651528,,-3.6018016,7.412622,17.06169,44.975086,13.41535,19.349503,-7.4120874,30.552748,10.786618,11.365517,12.214912,16.719397,18.948906,18.851093,29.620914,93.50238,42.067684,19.853931,12.009434,23.745033,15.388889,11.162414,12.787457,13.485062,18.275965,16.485147,18.56783,17.050264,36.98259,21.159761,11.849593,8.112583,23.57022,16.254799,77.13077,6.465812,17.070381,31.234638,7.6748676,13.211704,15.417363,15.92381,18.818298,12.418905,12.844007,12.327299,,41.36301,38.422764,14.219847,10.716312,26.791328,38.648354,19.674194,26.176533,70.268295,27.757534,25.1709,-5.6614666,28.498737,68.81067,101.78948,24.349398,10.472693,14.0809965,16.201242,92.84229,27.18581,15.905883,16.343422,-56.56731,14.984402,18.33735,207,19.595366,29.57622,10.502318,28.704247,25.645374,21.158268,9.31962,35.472404,22.082018,45.18467,13.8429,29.833334,10.988417,20.685474,18.539364,11.633803,33.927174,29.136005,21.969007,27.037931,16.596296,22.450972,31.900484,22.984848,20.046368,,35.02929,12.887932,,50.202248,70.48809,9.565354,,25.291128,13.629393,119.5,97.6,21.70651,-9.432625,18.259684,19.402843,13.32929,12.160631,4.109405,5082,28.397707,211.8261,33.636986,37.6372,12.032064,18.779232,28.96587,,30.02651,159.72,27.98996,19.782478,16.242563,26.083334,7.245174,29.02675,26.220043,24.39394,23.965086,12.93401,79.641975,55.611332,7.046511,10.39801,12.234782,27.644232,10.179947,17.384617,16.479338,-39.376034,23.336699,9.95909,39.63473,35.88593,26.313282,24.669214,18.288221,11.816358,39.01408
